
===== TRAINING =====
Dataset: drive (train set)
Model:   unetpp
Output:  /home/mahsa.geshvadi001/New_Projects/PathFollowing_RL/Baselines/results/drive_unet/drive/unetpp
Loading dataset from: /home/mahsa.geshvadi001/New_Projects/PathFollowing_RL/Baselines/Dataset/drive
✓ Dataset loaded: 20 samples
[unetpp] ep=000 train=1.5379 val=1.5699
[unetpp] ep=001 train=1.3905 val=1.5699
[unetpp] ep=002 train=1.2983 val=1.5705
[unetpp] ep=003 train=1.2325 val=1.5557
[unetpp] ep=004 train=1.1874 val=1.5209
[unetpp] ep=005 train=1.1556 val=1.4788
[unetpp] ep=006 train=1.1297 val=1.4471
[unetpp] ep=007 train=1.1142 val=1.4173
[unetpp] ep=008 train=1.0961 val=1.4035
[unetpp] ep=009 train=1.0836 val=1.3975
[unetpp] ep=010 train=1.0673 val=1.3875
[unetpp] ep=011 train=1.0537 val=1.3631
[unetpp] ep=012 train=1.0392 val=1.3374
[unetpp] ep=013 train=1.0279 val=1.3142
[unetpp] ep=014 train=1.0156 val=1.2945
[unetpp] ep=015 train=1.0032 val=1.2790
[unetpp] ep=016 train=0.9944 val=1.2677
[unetpp] ep=017 train=0.9841 val=1.2601
[unetpp] ep=018 train=0.9712 val=1.2530
[unetpp] ep=019 train=0.9606 val=1.2465
[unetpp] ep=020 train=0.9485 val=1.2381
[unetpp] ep=021 train=0.9384 val=1.2244
[unetpp] ep=022 train=0.9282 val=1.2178
[unetpp] ep=023 train=0.9184 val=1.2036
[unetpp] ep=024 train=0.9079 val=1.1998
[unetpp] ep=025 train=0.8982 val=1.1832
[unetpp] ep=026 train=0.8905 val=1.1877
[unetpp] ep=027 train=0.8792 val=1.1519
[unetpp] ep=028 train=0.8738 val=1.0755
[unetpp] ep=029 train=0.8588 val=0.9978
[unetpp] ep=030 train=0.8541 val=0.9643
[unetpp] ep=031 train=0.8400 val=0.9524
[unetpp] ep=032 train=0.8300 val=0.9415
[unetpp] ep=033 train=0.8202 val=0.9369
[unetpp] ep=034 train=0.8104 val=0.9115
[unetpp] ep=035 train=0.7995 val=0.8822
[unetpp] ep=036 train=0.7909 val=0.8596
[unetpp] ep=037 train=0.7801 val=0.8255
[unetpp] ep=038 train=0.7722 val=0.8114
[unetpp] ep=039 train=0.7609 val=0.7946
[unetpp] ep=040 train=0.7524 val=0.7852
[unetpp] ep=041 train=0.7427 val=0.7717
[unetpp] ep=042 train=0.7321 val=0.7625
[unetpp] ep=043 train=0.7229 val=0.7478
[unetpp] ep=044 train=0.7165 val=0.7333
[unetpp] ep=045 train=0.7060 val=0.7145
[unetpp] ep=046 train=0.6947 val=0.7183
[unetpp] ep=047 train=0.6864 val=0.7065
[unetpp] ep=048 train=0.6777 val=0.6897
[unetpp] ep=049 train=0.6736 val=0.6922
[unetpp] ep=050 train=0.6635 val=0.6727
[unetpp] ep=051 train=0.6544 val=0.6745
[unetpp] ep=052 train=0.6442 val=0.6635
[unetpp] ep=053 train=0.6356 val=0.6594
[unetpp] ep=054 train=0.6279 val=0.6584
[unetpp] ep=055 train=0.6199 val=0.6605
[unetpp] ep=056 train=0.6129 val=0.6444
[unetpp] ep=057 train=0.6045 val=0.6326
[unetpp] ep=058 train=0.5943 val=0.6319
[unetpp] ep=059 train=0.5868 val=0.6097
[unetpp] ep=060 train=0.5800 val=0.6098
[unetpp] ep=061 train=0.5717 val=0.6021
[unetpp] ep=062 train=0.5633 val=0.5928
[unetpp] ep=063 train=0.5624 val=0.5908
[unetpp] ep=064 train=0.5496 val=0.5930
[unetpp] ep=065 train=0.5448 val=0.5739
[unetpp] ep=066 train=0.5352 val=0.5826
[unetpp] ep=067 train=0.5284 val=0.5823
[unetpp] ep=068 train=0.5208 val=0.5584
[unetpp] ep=069 train=0.5128 val=0.5509
[unetpp] ep=070 train=0.5074 val=0.5578
[unetpp] ep=071 train=0.5024 val=0.5357
[unetpp] ep=072 train=0.4943 val=0.5524
[unetpp] ep=073 train=0.4922 val=0.5499
[unetpp] ep=074 train=0.4858 val=0.5666
[unetpp] ep=075 train=0.4784 val=0.5409
[unetpp] ep=076 train=0.4745 val=0.5294
[unetpp] ep=077 train=0.4651 val=0.5195
[unetpp] ep=078 train=0.4583 val=0.5228
[unetpp] ep=079 train=0.4511 val=0.5211
Saved: /home/mahsa.geshvadi001/New_Projects/PathFollowing_RL/Baselines/results/drive_unet/drive/unetpp/best.pth
===== TRAINING DONE =====
