
===== TRAINING =====
Dataset: crack (train set)
Model:   unet
Output:  /home/mahsa.geshvadi001/New_Projects/PathFollowing_RL/Baselines/results/crack_unet/crack/unet
Loading dataset from: /home/mahsa.geshvadi001/New_Projects/PathFollowing_RL/Baselines/Dataset/crack_train
✓ Dataset loaded: 172 samples
[unet] ep=000 train=1.3958 val=1.5233
[unet] ep=001 train=1.2033 val=1.1753
[unet] ep=002 train=1.1397 val=1.1294
[unet] ep=003 train=1.0983 val=1.1040
[unet] ep=004 train=1.0672 val=1.0853
[unet] ep=005 train=1.0398 val=1.0337
[unet] ep=006 train=1.0138 val=1.0114
[unet] ep=007 train=0.9806 val=1.1094
[unet] ep=008 train=0.9400 val=0.9688
[unet] ep=009 train=0.8766 val=0.8861
[unet] ep=010 train=0.8172 val=0.8459
[unet] ep=011 train=0.7338 val=0.7417
[unet] ep=012 train=0.6624 val=0.6774
[unet] ep=013 train=0.6063 val=0.6347
[unet] ep=014 train=0.5662 val=0.6051
[unet] ep=015 train=0.5369 val=0.5487
[unet] ep=016 train=0.5205 val=0.5310
[unet] ep=017 train=0.5078 val=0.6226
[unet] ep=018 train=0.5011 val=0.5104
[unet] ep=019 train=0.4887 val=0.5119
[unet] ep=020 train=0.4746 val=0.5008
[unet] ep=021 train=0.4670 val=0.5007
[unet] ep=022 train=0.4638 val=0.4921
[unet] ep=023 train=0.4618 val=0.4932
[unet] ep=024 train=0.4644 val=0.5078
[unet] ep=025 train=0.4548 val=0.4992
[unet] ep=026 train=0.4497 val=0.4831
[unet] ep=027 train=0.4449 val=0.4844
[unet] ep=028 train=0.4398 val=0.4894
[unet] ep=029 train=0.4468 val=0.4842
[unet] ep=030 train=0.4420 val=0.5020
[unet] ep=031 train=0.4293 val=0.4820
[unet] ep=032 train=0.4260 val=0.4984
[unet] ep=033 train=0.4234 val=0.4847
[unet] ep=034 train=0.4221 val=0.4796
[unet] ep=035 train=0.4198 val=0.4742
[unet] ep=036 train=0.4176 val=0.4768
[unet] ep=037 train=0.4113 val=0.4782
[unet] ep=038 train=0.4085 val=0.4743
[unet] ep=039 train=0.4005 val=0.4725
[unet] ep=040 train=0.3937 val=0.4711
[unet] ep=041 train=0.4001 val=0.4725
[unet] ep=042 train=0.3915 val=0.4826
[unet] ep=043 train=0.3982 val=0.4696
[unet] ep=044 train=0.3899 val=0.4915
[unet] ep=045 train=0.3880 val=0.4677
[unet] ep=046 train=0.3781 val=0.4823
[unet] ep=047 train=0.3797 val=0.4686
[unet] ep=048 train=0.3714 val=0.4719
[unet] ep=049 train=0.3675 val=0.4797
[unet] ep=050 train=0.3666 val=0.4704
[unet] ep=051 train=0.3621 val=0.4677
[unet] ep=052 train=0.3540 val=0.4772
[unet] ep=053 train=0.3418 val=0.4777
[unet] ep=054 train=0.3393 val=0.4705
[unet] ep=055 train=0.3349 val=0.4728
[unet] ep=056 train=0.3327 val=0.4694
[unet] ep=057 train=0.3439 val=0.4794
[unet] ep=058 train=0.3421 val=0.4897
[unet] ep=059 train=0.3286 val=0.4767
[unet] ep=060 train=0.3228 val=0.4699
[unet] ep=061 train=0.3090 val=0.4760
[unet] ep=062 train=0.3003 val=0.4845
[unet] ep=063 train=0.3078 val=0.4890
[unet] ep=064 train=0.3001 val=0.4876
[unet] ep=065 train=0.2934 val=0.4808
[unet] ep=066 train=0.2821 val=0.4809
[unet] ep=067 train=0.2791 val=0.4734
[unet] ep=068 train=0.2700 val=0.4838
[unet] ep=069 train=0.2652 val=0.4774
[unet] ep=070 train=0.2678 val=0.4849
[unet] ep=071 train=0.2640 val=0.5056
[unet] ep=072 train=0.2520 val=0.4853
[unet] ep=073 train=0.2450 val=0.4918
[unet] ep=074 train=0.2366 val=0.5035
[unet] ep=075 train=0.2346 val=0.5046
[unet] ep=076 train=0.2356 val=0.4920
[unet] ep=077 train=0.2241 val=0.4965
[unet] ep=078 train=0.2174 val=0.4980
[unet] ep=079 train=0.2097 val=0.5091
Saved: /home/mahsa.geshvadi001/New_Projects/PathFollowing_RL/Baselines/results/crack_unet/crack/unet/best.pth
===== TRAINING DONE =====
