
===== TRAINING =====
Dataset: isbi12 (train set)
Model:   unetpp
Output:  /home/mahsa.geshvadi001/New_Projects/PathFollowing_RL/Baselines/results/isbi12_unet/isbi12/unetpp
Loading dataset from: /home/mahsa.geshvadi001/New_Projects/PathFollowing_RL/Baselines/Dataset/isbi12_train
✓ Dataset loaded: 48 samples
[unetpp] ep=000 train=0.8903 val=0.9853
[unetpp] ep=001 train=0.6911 val=0.7893
[unetpp] ep=002 train=0.6236 val=0.7040
[unetpp] ep=003 train=0.5780 val=0.7487
[unetpp] ep=004 train=0.5475 val=0.7080
[unetpp] ep=005 train=0.5255 val=0.9792
[unetpp] ep=006 train=0.5036 val=0.6846
[unetpp] ep=007 train=0.4848 val=0.8588
[unetpp] ep=008 train=0.4647 val=0.5808
[unetpp] ep=009 train=0.4504 val=0.5729
[unetpp] ep=010 train=0.4358 val=0.4489
[unetpp] ep=011 train=0.4203 val=0.4333
[unetpp] ep=012 train=0.4091 val=0.4014
[unetpp] ep=013 train=0.3943 val=0.4262
[unetpp] ep=014 train=0.3892 val=0.4099
[unetpp] ep=015 train=0.3791 val=0.3898
[unetpp] ep=016 train=0.3690 val=0.3748
[unetpp] ep=017 train=0.3556 val=0.4238
[unetpp] ep=018 train=0.3455 val=0.3637
[unetpp] ep=019 train=0.3381 val=0.3605
[unetpp] ep=020 train=0.3365 val=0.3565
[unetpp] ep=021 train=0.3278 val=0.3571
[unetpp] ep=022 train=0.3194 val=0.3339
[unetpp] ep=023 train=0.3093 val=0.3445
[unetpp] ep=024 train=0.3084 val=0.5301
[unetpp] ep=025 train=0.3125 val=0.5124
[unetpp] ep=026 train=0.3042 val=0.3235
[unetpp] ep=027 train=0.2984 val=0.3180
[unetpp] ep=028 train=0.2883 val=0.3368
[unetpp] ep=029 train=0.2812 val=0.3034
[unetpp] ep=030 train=0.2698 val=0.3181
[unetpp] ep=031 train=0.2636 val=0.3010
[unetpp] ep=032 train=0.2619 val=0.2916
[unetpp] ep=033 train=0.2576 val=0.3034
[unetpp] ep=034 train=0.2500 val=0.3575
[unetpp] ep=035 train=0.2486 val=0.2837
[unetpp] ep=036 train=0.2425 val=0.3181
[unetpp] ep=037 train=0.2386 val=0.4348
[unetpp] ep=038 train=0.2359 val=0.2896
[unetpp] ep=039 train=0.2299 val=0.2804
[unetpp] ep=040 train=0.2269 val=0.2838
[unetpp] ep=041 train=0.2203 val=0.3072
[unetpp] ep=042 train=0.2202 val=0.2960
[unetpp] ep=043 train=0.2190 val=0.2870
[unetpp] ep=044 train=0.2133 val=0.2818
[unetpp] ep=045 train=0.2144 val=0.2874
[unetpp] ep=046 train=0.2132 val=0.2969
[unetpp] ep=047 train=0.2121 val=0.3214
[unetpp] ep=048 train=0.2008 val=0.3480
[unetpp] ep=049 train=0.2029 val=0.2903
[unetpp] ep=050 train=0.2029 val=0.2713
[unetpp] ep=051 train=0.1995 val=0.3374
[unetpp] ep=052 train=0.2061 val=0.5167
[unetpp] ep=053 train=0.2138 val=0.2769
[unetpp] ep=054 train=0.2013 val=0.3280
[unetpp] ep=055 train=0.1983 val=0.3212
[unetpp] ep=056 train=0.1879 val=0.2879
[unetpp] ep=057 train=0.1833 val=0.2895
[unetpp] ep=058 train=0.1832 val=0.2644
[unetpp] ep=059 train=0.1802 val=0.4000
[unetpp] ep=060 train=0.1721 val=0.2783
[unetpp] ep=061 train=0.1757 val=0.2699
[unetpp] ep=062 train=0.1755 val=0.3391
[unetpp] ep=063 train=0.1676 val=0.3001
[unetpp] ep=064 train=0.1642 val=0.2723
[unetpp] ep=065 train=0.1571 val=0.3300
[unetpp] ep=066 train=0.1559 val=0.2867
[unetpp] ep=067 train=0.1627 val=0.3853
[unetpp] ep=068 train=0.1671 val=0.2802
[unetpp] ep=069 train=0.1566 val=0.2789
[unetpp] ep=070 train=0.1529 val=0.2817
[unetpp] ep=071 train=0.1511 val=0.3775
[unetpp] ep=072 train=0.1557 val=0.2756
[unetpp] ep=073 train=0.1466 val=0.3013
[unetpp] ep=074 train=0.1567 val=0.3106
[unetpp] ep=075 train=0.1456 val=0.3180
[unetpp] ep=076 train=0.1440 val=0.2895
[unetpp] ep=077 train=0.1380 val=0.2817
[unetpp] ep=078 train=0.1311 val=0.2892
[unetpp] ep=079 train=0.1317 val=0.3113
Saved: /home/mahsa.geshvadi001/New_Projects/PathFollowing_RL/Baselines/results/isbi12_unet/isbi12/unetpp/best.pth
===== TRAINING DONE =====
