
===== TRAINING =====
Dataset: isbi12 (train set)
Model:   unet
Output:  /home/mahsa.geshvadi001/New_Projects/PathFollowing_RL/Baselines/results/isbi12_unet/isbi12/unet
Loading dataset from: /home/mahsa.geshvadi001/New_Projects/PathFollowing_RL/Baselines/Dataset/isbi12_train
✓ Dataset loaded: 48 samples
[unet] ep=000 train=0.9093 val=1.0611
[unet] ep=001 train=0.6563 val=0.7621
[unet] ep=002 train=0.5843 val=0.7879
[unet] ep=003 train=0.5143 val=1.0550
[unet] ep=004 train=0.4861 val=0.6315
[unet] ep=005 train=0.4443 val=0.4668
[unet] ep=006 train=0.4196 val=0.8293
[unet] ep=007 train=0.3991 val=0.4701
[unet] ep=008 train=0.3851 val=0.6364
[unet] ep=009 train=0.3788 val=0.5816
[unet] ep=010 train=0.3578 val=0.4319
[unet] ep=011 train=0.3445 val=0.4461
[unet] ep=012 train=0.3371 val=0.3551
[unet] ep=013 train=0.3265 val=0.3304
[unet] ep=014 train=0.3165 val=0.3333
[unet] ep=015 train=0.3097 val=0.2999
[unet] ep=016 train=0.2990 val=0.3031
[unet] ep=017 train=0.2966 val=0.2971
[unet] ep=018 train=0.2869 val=0.2917
[unet] ep=019 train=0.2811 val=0.2929
[unet] ep=020 train=0.2757 val=0.3539
[unet] ep=021 train=0.2785 val=0.2731
[unet] ep=022 train=0.2719 val=0.2729
[unet] ep=023 train=0.2635 val=0.2779
[unet] ep=024 train=0.2616 val=0.2912
[unet] ep=025 train=0.2618 val=0.2703
[unet] ep=026 train=0.2549 val=0.2632
[unet] ep=027 train=0.2509 val=0.2593
[unet] ep=028 train=0.2534 val=0.2816
[unet] ep=029 train=0.2474 val=0.2732
[unet] ep=030 train=0.2468 val=0.2673
[unet] ep=031 train=0.2407 val=0.2882
[unet] ep=032 train=0.2386 val=0.2990
[unet] ep=033 train=0.2396 val=0.2811
[unet] ep=034 train=0.2330 val=0.2786
[unet] ep=035 train=0.2270 val=0.2645
[unet] ep=036 train=0.2277 val=0.2488
[unet] ep=037 train=0.2248 val=0.2709
[unet] ep=038 train=0.2167 val=0.2716
[unet] ep=039 train=0.2178 val=0.3678
[unet] ep=040 train=0.2150 val=0.2782
[unet] ep=041 train=0.2127 val=0.3580
[unet] ep=042 train=0.2091 val=0.2685
[unet] ep=043 train=0.2061 val=0.3565
[unet] ep=044 train=0.2055 val=0.2722
[unet] ep=045 train=0.2061 val=0.2946
[unet] ep=046 train=0.1962 val=0.2645
[unet] ep=047 train=0.1954 val=0.2552
[unet] ep=048 train=0.2011 val=0.3031
[unet] ep=049 train=0.1917 val=0.2472
[unet] ep=050 train=0.1990 val=0.2816
[unet] ep=051 train=0.1939 val=0.5087
[unet] ep=052 train=0.2031 val=0.2824
[unet] ep=053 train=0.1990 val=0.3270
[unet] ep=054 train=0.1901 val=0.2992
[unet] ep=055 train=0.1861 val=0.2658
[unet] ep=056 train=0.1797 val=0.2999
[unet] ep=057 train=0.1745 val=0.2853
[unet] ep=058 train=0.1695 val=0.3019
[unet] ep=059 train=0.1687 val=0.2905
[unet] ep=060 train=0.1766 val=0.2592
[unet] ep=061 train=0.1683 val=0.2593
[unet] ep=062 train=0.1617 val=0.2782
[unet] ep=063 train=0.1631 val=0.2793
[unet] ep=064 train=0.1706 val=0.2854
[unet] ep=065 train=0.1712 val=0.2689
[unet] ep=066 train=0.1618 val=0.2776
[unet] ep=067 train=0.1576 val=0.2993
[unet] ep=068 train=0.1541 val=0.2652
[unet] ep=069 train=0.1496 val=0.3081
[unet] ep=070 train=0.1519 val=0.3127
[unet] ep=071 train=0.1413 val=0.3705
[unet] ep=072 train=0.1363 val=0.2781
[unet] ep=073 train=0.1384 val=0.3197
[unet] ep=074 train=0.1377 val=0.3771
[unet] ep=075 train=0.1425 val=0.3001
[unet] ep=076 train=0.1498 val=0.2967
[unet] ep=077 train=0.1342 val=0.2784
[unet] ep=078 train=0.1307 val=0.2785
[unet] ep=079 train=0.1319 val=0.2843
Saved: /home/mahsa.geshvadi001/New_Projects/PathFollowing_RL/Baselines/results/isbi12_unet/isbi12/unet/best.pth
===== TRAINING DONE =====
