
===== TRAINING =====
Dataset: drive (train set)
Model:   unet
Output:  /home/mahsa.geshvadi001/New_Projects/PathFollowing_RL/Baselines/results/drive_unet/drive/unet
Loading dataset from: /home/mahsa.geshvadi001/New_Projects/PathFollowing_RL/Baselines/Dataset/drive
✓ Dataset loaded: 20 samples
[unet] ep=000 train=1.4620 val=1.4943
[unet] ep=001 train=1.3261 val=1.4948
[unet] ep=002 train=1.1966 val=1.4842
[unet] ep=003 train=1.1320 val=1.4631
[unet] ep=004 train=1.0621 val=1.4290
[unet] ep=005 train=1.0159 val=1.3805
[unet] ep=006 train=0.9796 val=1.3400
[unet] ep=007 train=0.9473 val=1.2992
[unet] ep=008 train=0.9183 val=1.2937
[unet] ep=009 train=0.8956 val=1.2905
[unet] ep=010 train=0.8761 val=1.2858
[unet] ep=011 train=0.8610 val=1.2690
[unet] ep=012 train=0.8414 val=1.2617
[unet] ep=013 train=0.8244 val=1.2604
[unet] ep=014 train=0.8073 val=1.2586
[unet] ep=015 train=0.7879 val=1.2478
[unet] ep=016 train=0.7728 val=1.2474
[unet] ep=017 train=0.7602 val=1.2626
[unet] ep=018 train=0.7456 val=1.2896
[unet] ep=019 train=0.7295 val=1.2690
[unet] ep=020 train=0.7146 val=1.2324
[unet] ep=021 train=0.7064 val=1.2340
[unet] ep=022 train=0.6922 val=1.2106
[unet] ep=023 train=0.6739 val=1.2128
[unet] ep=024 train=0.6617 val=1.1532
[unet] ep=025 train=0.6485 val=1.1257
[unet] ep=026 train=0.6389 val=1.0711
[unet] ep=027 train=0.6334 val=1.0096
[unet] ep=028 train=0.6147 val=0.9623
[unet] ep=029 train=0.6049 val=0.9322
[unet] ep=030 train=0.5951 val=0.7976
[unet] ep=031 train=0.5898 val=0.7626
[unet] ep=032 train=0.5929 val=0.7638
[unet] ep=033 train=0.5840 val=0.6792
[unet] ep=034 train=0.5711 val=0.6730
[unet] ep=035 train=0.5575 val=0.6404
[unet] ep=036 train=0.5481 val=0.5936
[unet] ep=037 train=0.5375 val=0.5783
[unet] ep=038 train=0.5330 val=0.5767
[unet] ep=039 train=0.5181 val=0.5516
[unet] ep=040 train=0.5080 val=0.5226
[unet] ep=041 train=0.5000 val=0.5196
[unet] ep=042 train=0.4961 val=0.5100
[unet] ep=043 train=0.4914 val=0.5041
[unet] ep=044 train=0.4805 val=0.4888
[unet] ep=045 train=0.4766 val=0.4810
[unet] ep=046 train=0.4669 val=0.4792
[unet] ep=047 train=0.4576 val=0.4845
[unet] ep=048 train=0.4538 val=0.4817
[unet] ep=049 train=0.4461 val=0.4640
[unet] ep=050 train=0.4419 val=0.4544
[unet] ep=051 train=0.4358 val=0.4600
[unet] ep=052 train=0.4307 val=0.4550
[unet] ep=053 train=0.4241 val=0.4745
[unet] ep=054 train=0.4218 val=0.4370
[unet] ep=055 train=0.4110 val=0.4331
[unet] ep=056 train=0.4088 val=0.4282
[unet] ep=057 train=0.4062 val=0.4281
[unet] ep=058 train=0.4008 val=0.4323
[unet] ep=059 train=0.4007 val=0.4136
[unet] ep=060 train=0.3999 val=0.4068
[unet] ep=061 train=0.3926 val=0.4505
[unet] ep=062 train=0.3927 val=0.4045
[unet] ep=063 train=0.3867 val=0.4025
[unet] ep=064 train=0.3840 val=0.3901
[unet] ep=065 train=0.3785 val=0.3965
[unet] ep=066 train=0.3754 val=0.4065
[unet] ep=067 train=0.3714 val=0.4072
[unet] ep=068 train=0.3689 val=0.4010
[unet] ep=069 train=0.3680 val=0.3790
[unet] ep=070 train=0.3611 val=0.3739
[unet] ep=071 train=0.3594 val=0.3779
[unet] ep=072 train=0.3564 val=0.3893
[unet] ep=073 train=0.3555 val=0.3918
[unet] ep=074 train=0.3661 val=0.4359
[unet] ep=075 train=0.3623 val=0.3859
[unet] ep=076 train=0.3580 val=0.4093
[unet] ep=077 train=0.3575 val=0.3909
[unet] ep=078 train=0.3532 val=0.3700
[unet] ep=079 train=0.3480 val=0.4067
Saved: /home/mahsa.geshvadi001/New_Projects/PathFollowing_RL/Baselines/results/drive_unet/drive/unet/best.pth
===== TRAINING DONE =====
