
===== TRAINING =====
Dataset: isbi12 (train set)
Model:   unetpp
Output:  /home/mahsa.geshvadi001/New_Projects/PathFollowing_RL/Baselines/results/isbi12_unet/isbi12/unetpp
Loading dataset from: /home/mahsa.geshvadi001/New_Projects/PathFollowing_RL/Baselines/Dataset/isbi12_train
✓ Dataset loaded: 48 samples
[unetpp] ep=000 train=0.8903 val=0.9855
[unetpp] ep=001 train=0.6911 val=0.7893
[unetpp] ep=002 train=0.6236 val=0.7043
[unetpp] ep=003 train=0.5779 val=0.7485
[unetpp] ep=004 train=0.5474 val=0.7146
[unetpp] ep=005 train=0.5256 val=0.9913
[unetpp] ep=006 train=0.5036 val=0.6932
[unetpp] ep=007 train=0.4847 val=0.8826
[unetpp] ep=008 train=0.4647 val=0.5834
[unetpp] ep=009 train=0.4505 val=0.5622
[unetpp] ep=010 train=0.4361 val=0.4443
[unetpp] ep=011 train=0.4206 val=0.4308
[unetpp] ep=012 train=0.4091 val=0.4027
[unetpp] ep=013 train=0.3951 val=0.4372
[unetpp] ep=014 train=0.3917 val=0.4090
[unetpp] ep=015 train=0.3817 val=0.4006
[unetpp] ep=016 train=0.3707 val=0.3732
[unetpp] ep=017 train=0.3569 val=0.4023
[unetpp] ep=018 train=0.3463 val=0.3591
[unetpp] ep=019 train=0.3386 val=0.3584
[unetpp] ep=020 train=0.3355 val=0.3707
[unetpp] ep=021 train=0.3258 val=0.3321
[unetpp] ep=022 train=0.3171 val=0.3347
[unetpp] ep=023 train=0.3079 val=0.3286
[unetpp] ep=024 train=0.3045 val=0.3942
[unetpp] ep=025 train=0.2991 val=0.3666
[unetpp] ep=026 train=0.2890 val=0.3804
[unetpp] ep=027 train=0.2856 val=0.3210
[unetpp] ep=028 train=0.2813 val=0.3062
[unetpp] ep=029 train=0.2756 val=0.2957
[unetpp] ep=030 train=0.2660 val=0.3613
[unetpp] ep=031 train=0.2578 val=0.2984
[unetpp] ep=032 train=0.2545 val=0.3033
[unetpp] ep=033 train=0.2511 val=0.2923
[unetpp] ep=034 train=0.2409 val=0.2907
[unetpp] ep=035 train=0.2428 val=0.2773
[unetpp] ep=036 train=0.2459 val=0.2943
[unetpp] ep=037 train=0.2364 val=0.2833
[unetpp] ep=038 train=0.2296 val=0.2945
[unetpp] ep=039 train=0.2242 val=0.2722
[unetpp] ep=040 train=0.2256 val=0.2720
[unetpp] ep=041 train=0.2192 val=0.2813
[unetpp] ep=042 train=0.2171 val=0.3299
[unetpp] ep=043 train=0.2294 val=0.3278
[unetpp] ep=044 train=0.2317 val=0.3132
[unetpp] ep=045 train=0.2286 val=0.2765
[unetpp] ep=046 train=0.2242 val=0.2852
[unetpp] ep=047 train=0.2184 val=0.3100
[unetpp] ep=048 train=0.2044 val=0.2708
[unetpp] ep=049 train=0.2074 val=0.3427
[unetpp] ep=050 train=0.2032 val=0.2984
[unetpp] ep=051 train=0.1982 val=0.3358
[unetpp] ep=052 train=0.1934 val=0.2748
[unetpp] ep=053 train=0.1913 val=0.3275
[unetpp] ep=054 train=0.1842 val=0.3192
[unetpp] ep=055 train=0.1840 val=0.3080
[unetpp] ep=056 train=0.1785 val=0.2849
[unetpp] ep=057 train=0.1750 val=0.2916
[unetpp] ep=058 train=0.1757 val=0.2699
[unetpp] ep=059 train=0.1716 val=0.2933
[unetpp] ep=060 train=0.1643 val=0.3274
[unetpp] ep=061 train=0.1685 val=0.2727
[unetpp] ep=062 train=0.1680 val=0.2776
[unetpp] ep=063 train=0.1611 val=0.3038
[unetpp] ep=064 train=0.1595 val=0.2686
[unetpp] ep=065 train=0.1530 val=0.3147
[unetpp] ep=066 train=0.1514 val=0.2869
[unetpp] ep=067 train=0.1534 val=0.3097
[unetpp] ep=068 train=0.1585 val=0.2963
[unetpp] ep=069 train=0.1536 val=0.3389
[unetpp] ep=070 train=0.1538 val=0.2864
[unetpp] ep=071 train=0.1484 val=0.4150
[unetpp] ep=072 train=0.1522 val=0.2828
[unetpp] ep=073 train=0.1425 val=0.2997
[unetpp] ep=074 train=0.1533 val=0.3404
[unetpp] ep=075 train=0.1458 val=0.3193
[unetpp] ep=076 train=0.1461 val=0.2807
[unetpp] ep=077 train=0.1387 val=0.2944
[unetpp] ep=078 train=0.1348 val=0.2910
[unetpp] ep=079 train=0.1300 val=0.2882
Saved: /home/mahsa.geshvadi001/New_Projects/PathFollowing_RL/Baselines/results/isbi12_unet/isbi12/unetpp/best.pth
===== TRAINING DONE =====
